date,language,active_editors,new_editors,total_editors,new_articles,total_articles,page_views
2002/05/31,ks,0,0,0,0,0,0
2002/05/31,ml,0,0,0,0,0,0
2002/05/31,mr,0,0,0,0,0,0
2002/05/31,ne,0,0,0,0,0,0
2002/05/31,new,0,0,0,0,0,0
2002/05/31,or,0,0,0,0,0,0
2002/05/31,pa,0,0,0,0,0,0
2002/05/31,pi,0,0,0,0,0,0
2002/05/31,sa,0,0,0,0,0,0
2002/05/31,sd,0,0,0,0,0,0
2002/05/31,ta,0,0,0,0,0,0
2002/05/31,te,0,0,0,0,0,0
2002/05/31,total,0,0,0,0,0,0
2002/05/31,ur,0,0,0,0,0,0
2002/06/30,as,0,1,1,0,0,0
2002/06/30,bn,0,0,0,0,0,0
2002/06/30,bh,0,0,0,0,0,0
2002/06/30,bpy,0,0,0,0,0,0
2002/06/30,gu,0,0,0,0,0,0
2002/06/30,hi,0,0,0,0,0,0
2002/06/30,kn,0,0,0,0,0,0
2002/06/30,ks,0,0,0,0,0,0
2002/06/30,ml,0,0,0,0,0,0
2002/06/30,mr,0,0,0,0,0,0
2002/06/30,ne,0,1,1,0,1,0
2002/06/30,new,0,0,0,0,0,0
2002/06/30,or,0,0,0,0,0,0
2002/06/30,pa,0,1,1,0,1,0
2002/06/30,pi,0,0,0,0,0,0
2002/06/30,sa,0,0,0,0,0,0
2002/06/30,sd,0,0,0,0,0,0
2002/06/30,ta,0,0,0,0,0,0
2002/06/30,te,0,0,0,0,0,0
2002/06/30,total,0,3,3,0,2,0
2002/06/30,ur,0,0,0,0,0,0
2002/07/31,as,0,0,1,0,0,0
2002/07/31,bn,0,0,0,0,0,0
2002/07/31,bh,0,0,0,0,0,0
2002/07/31,bpy,0,0,0,0,0,0
2002/07/31,gu,0,0,0,0,0,0
2002/07/31,hi,0,0,0,0,0,0
2002/07/31,kn,0,0,0,0,0,0
2002/07/31,ks,0,0,0,0,0,0
2002/07/31,ml,0,0,0,0,0,0
2002/07/31,mr,0,0,0,0,0,0
2002/07/31,ne,0,0,1,0,1,0
2002/07/31,new,0,0,0,0,0,0
2002/07/31,or,0,0,0,0,0,0
2002/07/31,pa,0,0,1,0,1,0
2002/07/31,pi,0,0,0,0,0,0
2002/07/31,sa,0,0,0,0,0,0
2002/07/31,sd,0,0,0,0,0,0
2002/07/31,ta,0,0,0,0,0,0
2002/07/31,te,0,0,0,0,0,0
2002/07/31,total,0,0,3,0,2,0
2002/07/31,ur,0,0,0,0,0,0
2002/08/31,as,0,0,1,0,0,0
2002/08/31,bn,0,0,0,0,0,0
2002/08/31,bh,0,0,0,0,0,0
2002/08/31,bpy,0,0,0,0,0,0
2002/08/31,gu,0,0,0,0,0,0
2002/08/31,hi,0,0,0,0,0,0
2002/08/31,kn,0,0,0,0,0,0
2002/08/31,ks,0,0,0,0,0,0
2002/08/31,ml,0,0,0,0,0,0
2002/08/31,mr,0,0,0,0,0,0
2002/08/31,ne,0,0,1,0,1,0
2002/08/31,new,0,0,0,0,0,0
2002/08/31,or,0,0,0,0,0,0
2002/08/31,pa,0,0,1,0,1,0
2002/08/31,pi,0,0,0,0,0,0
2002/08/31,sa,0,0,0,0,0,0
2002/08/31,sd,0,0,0,0,0,0
2002/08/31,ta,0,0,0,0,0,0
2002/08/31,te,0,0,0,0,0,0
2002/08/31,total,0,0,3,0,2,0
2002/08/31,ur,0,0,0,0,0,0
2002/09/30,as,0,0,1,0,0,0
2002/09/30,bn,0,0,0,0,0,0
2002/09/30,bh,0,0,0,0,0,0
2002/09/30,bpy,0,0,0,0,0,0
2002/09/30,gu,0,0,0,0,0,0
2002/09/30,hi,0,0,0,0,0,0
2002/09/30,kn,0,0,0,0,0,0
2002/09/30,ks,0,0,0,0,0,0
2002/09/30,ml,0,0,0,0,0,0
2002/09/30,mr,0,0,0,0,0,0
2002/09/30,ne,0,0,1,0,1,0
2002/09/30,new,0,0,0,0,0,0
2002/09/30,or,0,0,0,0,0,0
2002/09/30,pa,0,0,1,0,1,0
2002/09/30,pi,0,0,0,0,0,0
2002/09/30,sa,0,0,0,0,0,0
2002/09/30,sd,0,0,0,0,0,0
2002/09/30,ta,0,0,0,0,0,0
2002/09/30,te,0,0,0,0,0,0
2002/09/30,total,0,0,3,0,2,0
2002/09/30,ur,0,0,0,0,0,0
2002/10/31,as,0,0,1,0,0,0
2002/10/31,bn,0,0,0,0,0,0
2002/10/31,bh,0,0,0,0,0,0
2002/10/31,bpy,0,0,0,0,0,0
2002/10/31,gu,0,0,0,0,0,0
2002/10/31,hi,0,0,0,0,0,0
2002/10/31,kn,0,0,0,0,0,0
2002/10/31,ks,0,0,0,0,0,0
2002/10/31,ml,0,0,0,0,0,0
2002/10/31,mr,0,0,0,0,0,0
2002/10/31,ne,0,0,1,0,1,0
2002/10/31,new,0,0,0,0,0,0
2002/10/31,or,0,0,0,0,0,0
2002/10/31,pa,0,0,1,0,1,0
2002/10/31,pi,0,0,0,0,0,0
2002/10/31,sa,0,0,0,0,0,0
2002/10/31,sd,0,0,0,0,0,0
2002/10/31,ta,0,0,0,0,0,0
2002/10/31,te,0,0,0,0,0,0
2002/10/31,total,0,0,3,0,2,0
2002/10/31,ur,0,0,0,0,0,0
2002/11/30,as,0,0,1,0,0,0
2002/11/30,bn,0,0,0,0,0,0
2002/11/30,bh,0,0,0,0,0,0
2002/11/30,bpy,0,0,0,0,0,0
2002/11/30,gu,0,0,0,0,0,0
2002/11/30,hi,0,0,0,0,0,0
2002/11/30,kn,0,0,0,0,0,0
2002/11/30,ks,0,0,0,0,0,0
2002/11/30,ml,0,0,0,0,0,0
2002/11/30,mr,0,0,0,0,0,0
2002/11/30,ne,0,0,1,0,1,0
2002/11/30,new,0,0,0,0,0,0
2002/11/30,or,0,0,0,0,0,0
2002/11/30,pa,0,0,1,0,1,0
2002/11/30,pi,0,0,0,0,0,0
2002/11/30,sa,0,0,0,0,0,0
2002/11/30,sd,0,0,0,0,0,0
2002/11/30,ta,0,0,0,0,0,0
2002/11/30,te,0,0,0,0,0,0
2002/11/30,total,0,0,3,0,2,0
2002/11/30,ur,0,0,0,0,0,0
2002/12/31,as,0,0,1,0,0,0
2002/12/31,bn,0,0,0,0,0,0
2002/12/31,bh,0,0,0,0,0,0
2002/12/31,bpy,0,0,0,0,0,0
2002/12/31,gu,0,0,0,0,0,0
2002/12/31,hi,0,0,0,0,0,0
2002/12/31,kn,0,0,0,0,0,0
2002/12/31,ks,0,0,0,0,0,0
2002/12/31,ml,1,2,2,0,5,0
2002/12/31,mr,0,0,0,0,0,0
2002/12/31,ne,0,0,1,0,1,0
2002/12/31,new,0,0,0,0,0,0
2002/12/31,or,0,0,0,0,0,0
2002/12/31,pa,0,0,1,0,1,0
2002/12/31,pi,0,0,0,0,0,0
2002/12/31,sa,0,0,0,0,0,0
2002/12/31,sd,0,0,0,0,0,0
2002/12/31,ta,0,0,0,0,0,0
2002/12/31,te,0,0,0,0,0,0
2002/12/31,total,1,2,5,0,7,0
2002/12/31,ur,0,0,0,0,0,0
2003/01/31,as,0,0,1,0,0,0
2003/01/31,bn,0,0,0,0,0,0
2003/01/31,bh,0,0,0,0,0,0
2003/01/31,bpy,0,0,0,0,0,0
2003/01/31,gu,0,0,0,0,0,0
2003/01/31,hi,0,0,0,0,0,0
2003/01/31,kn,0,0,0,0,0,0
2003/01/31,ks,0,0,0,0,0,0
2003/01/31,ml,0,0,2,0,5,0
2003/01/31,mr,0,0,0,0,0,0
2003/01/31,ne,0,0,1,0,1,0
2003/01/31,new,0,0,0,0,0,0
2003/01/31,or,0,0,0,0,0,0
2003/01/31,pa,0,0,1,0,1,0
2003/01/31,pi,0,0,0,0,0,0
2003/01/31,sa,0,0,0,0,0,0
2003/01/31,sd,0,0,0,0,0,0
2003/01/31,ta,0,0,0,0,0,0
2003/01/31,te,0,0,0,0,0,0
2003/01/31,total,0,0,5,0,7,0
2003/01/31,ur,0,0,0,0,0,0
2003/02/28,as,0,0,1,0,0,0
2003/02/28,bn,0,0,0,0,0,0
2003/02/28,bh,0,1,1,0,0,0
2003/02/28,bpy,0,0,0,0,0,0
2003/02/28,gu,0,0,0,0,0,0
2003/02/28,hi,0,0,0,0,0,0
2003/02/28,kn,0,0,0,0,0,0
2003/02/28,ks,0,0,0,0,0,0
2003/02/28,ml,1,0,2,0,7,0
2003/02/28,mr,0,0,0,0,0,0
2003/02/28,ne,0,0,1,0,1,0
