date,language,value
2009/06/30,kn,11.7
2009/07/31,kn,12.1
2009/08/31,kn,12.4
2009/09/30,kn,12.5
2009/10/31,kn,12.6
2009/11/30,kn,12.6
2009/12/31,kn,12.8
2010/01/31,kn,12.9
2010/02/28,kn,13.1
2010/03/31,kn,13.3
2010/04/30,kn,13.5
2010/05/31,kn,13.6
2010/06/30,kn,13.6
2010/07/31,kn,13.7
2010/08/31,kn,13.9
2010/09/30,kn,14
2010/10/31,kn,14
2010/11/30,kn,14.1
2010/12/31,kn,14.2
2011/01/31,kn,14.3
2011/02/28,kn,14.4
2011/03/31,kn,14.7
2011/04/30,kn,14.8
2011/05/31,kn,15
2011/06/30,kn,15.2
2011/07/31,kn,15.5
2011/08/31,kn,15.7
2011/09/30,kn,15.9
2011/10/31,kn,16.2
2011/11/30,kn,16.5
2011/12/31,kn,16.6
2012/01/31,kn,16.8
2012/02/29,kn,16.9
2012/03/31,kn,17
2012/04/30,kn,17.2
2012/05/31,kn,17.5
2012/06/30,kn,17.7
2012/07/31,kn,17.9
2012/08/31,kn,18
2012/09/30,kn,18.1
2012/10/31,kn,18.3
2012/11/30,kn,18.3
2012/12/31,kn,18.5
2008/01/31,ks,23.6
2008/02/29,ks,22.7
2008/03/31,ks,23.1
2008/04/30,ks,23.5
2008/05/31,ks,22.6
2008/06/30,ks,23.1
2008/07/31,ks,23.6
2008/08/31,ks,24.4
2008/09/30,ks,25.1
2008/10/31,ks,25.3
2008/11/30,ks,26
2008/12/31,ks,26.6
2009/01/31,ks,27.3
2009/02/28,ks,28.2
2009/03/31,ks,28.5
2009/04/30,ks,26.2
2009/05/31,ks,27.7
2009/06/30,ks,29
2009/07/31,ks,29.9
2009/08/31,ks,31
2009/09/30,ks,31.9
2009/10/31,ks,32.9
2009/11/30,ks,34.2
2009/12/31,ks,34.7
2010/01/31,ks,35
2010/02/28,ks,35.7
2010/03/31,ks,36.4
2010/04/30,ks,37.1
2010/05/31,ks,37.9
2010/06/30,ks,38.8
2010/07/31,ks,39.4
2010/08/31,ks,40.2
2010/09/30,ks,40.4
2010/10/31,ks,41.2
2010/11/30,ks,41.7
2010/12/31,ks,42.1
2011/01/31,ks,42.9
2011/02/28,ks,43.4
2011/03/31,ks,44.2
2011/04/30,ks,44.8
2011/05/31,ks,45.9
2011/06/30,ks,38.5
2011/07/31,ks,39.3
2011/08/31,ks,36.4
2011/09/30,ks,36.9
2011/10/31,ks,15.5
2011/11/30,ks,12.2
2011/12/31,ks,13
2012/01/31,ks,13.8
2012/02/29,ks,14.5
2012/03/31,ks,15.4
2012/04/30,ks,16.1
2012/05/31,ks,16.9
2012/06/30,ks,17.6
2012/07/31,ks,18.3
2012/08/31,ks,18.4
2012/09/30,ks,19.5
2012/10/31,ks,20.2
2012/11/30,ks,20.4
2012/12/31,ks,20.8
2008/01/31,ml,15.6
2008/02/29,ml,16
2008/03/31,ml,16.6
2008/04/30,ml,17.4
2008/05/31,ml,18
2008/06/30,ml,18.3
2008/07/31,ml,18.7
2008/08/31,ml,19.3
2008/09/30,ml,19.5
2008/10/31,ml,20.2
2008/11/30,ml,20.6
2008/12/31,ml,20.7
2009/01/31,ml,21.1
2009/02/28,ml,21.5
2009/03/31,ml,21.8
2009/04/30,ml,22
2009/05/31,ml,22.8
2009/06/30,ml,23.3
2009/07/31,ml,24
2009/08/31,ml,24.7
2009/09/30,ml,25.2
2009/10/31,ml,25.7
2009/11/30,ml,26.5
2009/12/31,ml,27
2010/01/31,ml,27.3
2010/02/28,ml,29.1
2010/03/31,ml,29.5
2010/04/30,ml,30.8
2010/05/31,ml,31.2
2010/06/30,ml,31.1
2010/07/31,ml,30.9
2010/08/31,ml,31.1
2010/09/30,ml,31.2
2010/10/31,ml,31
2010/11/30,ml,30.5
2010/12/31,ml,30.3
2011/01/31,ml,30.5
2011/02/28,ml,30.5
2011/03/31,ml,30.3
2011/04/30,ml,30.5
2011/05/31,ml,30.5
2011/06/30,ml,30.5
2011/07/31,ml,30.6
2011/08/31,ml,30.3
2011/09/30,ml,30.4
2011/10/31,ml,30.5
2011/11/30,ml,30.7
2011/12/31,ml,30.7
2012/01/31,ml,30.7
2012/02/29,ml,30.7
2012/03/31,ml,30.8
2012/04/30,ml,30.8
2012/05/31,ml,31
2012/06/30,ml,31.1
2012/07/31,ml,30.6
2012/08/31,ml,30.5
2012/09/30,ml,30.6
2012/10/31,ml,30.6
2012/11/30,ml,30.6
2012/12/31,ml,30.6
2008/01/31,mr,9.1
2008/02/29,mr,9.3
2008/03/31,mr,9.4
2008/04/30,mr,9.7
2008/05/31,mr,10.1
2008/06/30,mr,10.4
2008/07/31,mr,10.3
2008/08/31,mr,10.6
2008/09/30,mr,10.8
2008/10/31,mr,10.9
2008/11/30,mr,11
2008/12/31,mr,11.1
2009/01/31,mr,11.3
2009/02/28,mr,11.4
2009/03/31,mr,11.6
2009/04/30,mr,11.9
2009/05/31,mr,12.2
2009/06/30,mr,12.4
2009/07/31,mr,12.8
2009/08/31,mr,12.9
2009/09/30,mr,13
2009/10/31,mr,13
