date,language,value
2010/10/31,kn,9
2010/11/30,kn,8
2010/12/31,kn,6
2011/01/31,kn,8
2011/02/28,kn,7
2011/03/31,kn,5
2011/04/30,kn,7
2011/05/31,kn,8
2011/06/30,kn,2
2011/07/31,kn,2
2011/08/31,kn,2
2011/09/30,kn,2
2011/10/31,kn,1
2011/11/30,kn,2
2011/12/31,kn,4
2012/01/31,kn,3
2012/02/29,kn,5
2012/03/31,kn,4
2012/04/30,kn,4
2012/05/31,kn,2
2012/06/30,kn,3
2012/07/31,kn,3
2012/08/31,kn,3
2012/09/30,kn,2
2012/10/31,kn,3
2012/11/30,kn,5
2012/12/31,kn,4
2013/01/31,kn,4
2008/01/31,ks,0
2008/02/29,ks,0
2008/03/31,ks,0
2008/04/30,ks,0
2008/05/31,ks,0
2008/06/30,ks,0
2008/07/31,ks,0
2008/08/31,ks,0
2008/09/30,ks,0
2008/10/31,ks,0
2008/11/30,ks,0
2008/12/31,ks,0
2009/01/31,ks,0
2009/02/28,ks,0
2009/03/31,ks,0
2009/04/30,ks,0
2009/05/31,ks,0
2009/06/30,ks,0
2009/07/31,ks,0
2009/08/31,ks,0
2009/09/30,ks,0
2009/10/31,ks,0
2009/11/30,ks,0
2009/12/31,ks,0
2010/01/31,ks,0
2010/02/28,ks,0
2010/03/31,ks,0
2010/04/30,ks,0
2010/05/31,ks,0
2010/06/30,ks,0
2010/07/31,ks,0
2010/08/31,ks,0
2010/09/30,ks,0
2010/10/31,ks,0
2010/11/30,ks,0
2010/12/31,ks,0
2011/01/31,ks,0
2011/02/28,ks,0
2011/03/31,ks,0
2011/04/30,ks,0
2011/05/31,ks,0
2011/06/30,ks,0
2011/07/31,ks,0
2011/08/31,ks,0
2011/09/30,ks,0
2011/10/31,ks,1
2011/11/30,ks,1
2011/12/31,ks,0
2012/01/31,ks,0
2012/02/29,ks,0
2012/03/31,ks,0
2012/04/30,ks,0
2012/05/31,ks,0
2012/06/30,ks,0
2012/07/31,ks,0
2012/08/31,ks,0
2012/09/30,ks,0
2012/10/31,ks,0
2012/11/30,ks,0
2012/12/31,ks,0
2013/01/31,ks,0
2008/01/31,ml,12
2008/02/29,ml,7
2008/03/31,ml,5
2008/04/30,ml,7
2008/05/31,ml,8
2008/06/30,ml,14
2008/07/31,ml,10
2008/08/31,ml,13
2008/09/30,ml,13
2008/10/31,ml,11
2008/11/30,ml,7
2008/12/31,ml,9
2009/01/31,ml,11
2009/02/28,ml,7
2009/03/31,ml,7
2009/04/30,ml,9
2009/05/31,ml,16
2009/06/30,ml,9
2009/07/31,ml,8
2009/08/31,ml,10
2009/09/30,ml,8
2009/10/31,ml,8
2009/11/30,ml,6
2009/12/31,ml,6
2010/01/31,ml,8
2010/02/28,ml,7
2010/03/31,ml,6
2010/04/30,ml,7
2010/05/31,ml,8
2010/06/30,ml,14
2010/07/31,ml,14
2010/08/31,ml,12
2010/09/30,ml,15
2010/10/31,ml,16
2010/11/30,ml,27
2010/12/31,ml,17
2011/01/31,ml,12
2011/02/28,ml,13
2011/03/31,ml,20
2011/04/30,ml,9
2011/05/31,ml,14
2011/06/30,ml,11
2011/07/31,ml,16
2011/08/31,ml,28
2011/09/30,ml,17
2011/10/31,ml,14
2011/11/30,ml,18
2011/12/31,ml,18
2012/01/31,ml,17
2012/02/29,ml,13
2012/03/31,ml,13
2012/04/30,ml,10
2012/05/31,ml,11
2012/06/30,ml,20
2012/07/31,ml,32
2012/08/31,ml,21
2012/09/30,ml,15
2012/10/31,ml,16
2012/11/30,ml,13
2012/12/31,ml,23
2013/01/31,ml,21
2008/01/31,mr,19
2008/02/29,mr,17
2008/03/31,mr,14
2008/04/30,mr,9
2008/05/31,mr,17
2008/06/30,mr,13
2008/07/31,mr,28
2008/08/31,mr,16
2008/09/30,mr,12
2008/10/31,mr,17
2008/11/30,mr,13
2008/12/31,mr,10
2009/01/31,mr,25
2009/02/28,mr,11
2009/03/31,mr,12
2009/04/30,mr,6
2009/05/31,mr,9
2009/06/30,mr,8
2009/07/31,mr,7
2009/08/31,mr,20
2009/09/30,mr,21
2009/10/31,mr,23
2009/11/30,mr,6
2009/12/31,mr,10
2010/01/31,mr,16
2010/02/28,mr,22
2010/03/31,mr,20
2010/04/30,mr,10
2010/05/31,mr,14
2010/06/30,mr,50
2010/07/31,mr,14
2010/08/31,mr,9
2010/09/30,mr,11
2010/10/31,mr,10
2010/11/30,mr,14
2010/12/31,mr,8
2011/01/31,mr,10
2011/02/28,mr,9
2011/03/31,mr,16
2011/04/30,mr,9
2011/05/31,mr,12
2011/06/30,mr,11
2011/07/31,mr,9
2011/08/31,mr,5
2011/09/30,mr,9
2011/10/31,mr,9
2011/11/30,mr,8
2011/12/31,mr,6
2012/01/31,mr,6
2012/02/29,mr,6
2012/03/31,mr,6
2012/04/30,mr,26
2012/05/31,mr,16
