date,"language",views
2011/08/31,"Bengali",2521483
2011/09/30,"Bengali",2863890
2011/10/31,"Bengali",4439441
2011/11/30,"Bengali",2460603
2011/12/31,"Bengali",2315088
2012/01/31,"Bengali",2531719
2012/02/29,"Bengali",2347611
2012/03/31,"Bengali",2609450
2012/04/30,"Bengali",2304730
2012/05/31,"Bengali",2689791
2012/06/30,"Bengali",2335797
2012/07/31,"Bengali",2343109
2012/08/31,"Bengali",2375159
2012/09/30,"Bengali",2084566
2012/10/31,"Bengali",2204711
2012/11/30,"Bengali",2247501
2012/12/13,"Bengali",2597406
2013/01/31,"Bengali",2902608
2013/02/12,"Bengali",1189173
2008/01/31,"Bishnupriya Manipuri",1277667
2008/02/29,"Bishnupriya Manipuri",988108
2008/03/31,"Bishnupriya Manipuri",1236680
2008/04/30,"Bishnupriya Manipuri",1756272
2008/05/31,"Bishnupriya Manipuri",1982603
2008/06/30,"Bishnupriya Manipuri",1825171
2008/07/31,"Bishnupriya Manipuri",1459844
2008/08/31,"Bishnupriya Manipuri",1341542
2008/09/30,"Bishnupriya Manipuri",1221913
2008/10/31,"Bishnupriya Manipuri",1380827
2008/11/30,"Bishnupriya Manipuri",1397102
2008/12/31,"Bishnupriya Manipuri",1404392
2009/01/31,"Bishnupriya Manipuri",1744794
2009/02/28,"Bishnupriya Manipuri",1404835
2009/03/31,"Bishnupriya Manipuri",1841739
2009/04/30,"Bishnupriya Manipuri",1029813
2009/05/31,"Bishnupriya Manipuri",981733
2009/06/30,"Bishnupriya Manipuri",1132420
2009/07/31,"Bishnupriya Manipuri",1073661
2009/08/31,"Bishnupriya Manipuri",1315673
2009/09/30,"Bishnupriya Manipuri",1271392
2009/10/31,"Bishnupriya Manipuri",1593952
2009/11/30,"Bishnupriya Manipuri",1342916
2009/12/31,"Bishnupriya Manipuri",1510928
2010/01/31,"Bishnupriya Manipuri",1466489
2010/02/28,"Bishnupriya Manipuri",1161400
2010/03/31,"Bishnupriya Manipuri",1002004
2010/04/30,"Bishnupriya Manipuri",1076674
2010/05/31,"Bishnupriya Manipuri",1041791
2010/06/30,"Bishnupriya Manipuri",476872
2010/07/31,"Bishnupriya Manipuri",663647
2010/08/31,"Bishnupriya Manipuri",594876
2010/09/30,"Bishnupriya Manipuri",626442
2010/10/31,"Bishnupriya Manipuri",594525
2010/11/30,"Bishnupriya Manipuri",658923
2010/12/31,"Bishnupriya Manipuri",808578
2011/01/31,"Bishnupriya Manipuri",691311
2011/02/28,"Bishnupriya Manipuri",749800
2011/03/31,"Bishnupriya Manipuri",965151
2011/04/30,"Bishnupriya Manipuri",654946
2011/05/31,"Bishnupriya Manipuri",729132
2011/06/30,"Bishnupriya Manipuri",646801
2011/07/31,"Bishnupriya Manipuri",663570
2011/08/31,"Bishnupriya Manipuri",886627
2011/09/30,"Bishnupriya Manipuri",764760
2011/10/31,"Bishnupriya Manipuri",1237923
2011/11/30,"Bishnupriya Manipuri",769336
2011/12/31,"Bishnupriya Manipuri",878084
2012/01/31,"Bishnupriya Manipuri",818207
2012/02/29,"Bishnupriya Manipuri",720784
2012/03/31,"Bishnupriya Manipuri",688932
2012/04/30,"Bishnupriya Manipuri",666971
2012/05/31,"Bishnupriya Manipuri",756374
2012/06/30,"Bishnupriya Manipuri",634622
2012/07/31,"Bishnupriya Manipuri",660642
2012/08/31,"Bishnupriya Manipuri",645115
2012/09/30,"Bishnupriya Manipuri",620649
2012/10/31,"Bishnupriya Manipuri",630708
2012/11/30,"Bishnupriya Manipuri",639034
2012/12/13,"Bishnupriya Manipuri",864819
2013/01/31,"Bishnupriya Manipuri",701209
2013/02/12,"Bishnupriya Manipuri",245825
2008/01/31,"Gujarati",166667
2008/02/29,"Gujarati",143000
2008/03/31,"Gujarati",123389
2008/04/30,"Gujarati",143320
2008/05/31,"Gujarati",136581
2008/06/30,"Gujarati",147850
2008/07/31,"Gujarati",154437
2008/08/31,"Gujarati",179257
2008/09/30,"Gujarati",223942
2008/10/31,"Gujarati",231880
2008/11/30,"Gujarati",190523
2008/12/31,"Gujarati",258223
2009/01/31,"Gujarati",239194
2009/02/28,"Gujarati",176878
2009/03/31,"Gujarati",261766
2009/04/30,"Gujarati",231602
2009/05/31,"Gujarati",229719
2009/06/30,"Gujarati",305216
2009/07/31,"Gujarati",321863
2009/08/31,"Gujarati",387866
2009/09/30,"Gujarati",354080
2009/10/31,"Gujarati",525767
2009/11/30,"Gujarati",467127
2009/12/31,"Gujarati",537128
2010/01/31,"Gujarati",524032
2010/02/28,"Gujarati",641361
2010/03/31,"Gujarati",604040
2010/04/30,"Gujarati",677129
2010/05/31,"Gujarati",597275
2010/06/30,"Gujarati",413175
2010/07/31,"Gujarati",512471
2010/08/31,"Gujarati",538949
2010/09/30,"Gujarati",489765
2010/10/31,"Gujarati",481069
2010/11/30,"Gujarati",560243
2010/12/31,"Gujarati",651757
2011/01/31,"Gujarati",604616
2011/02/28,"Gujarati",645550
2011/03/31,"Gujarati",710374
2011/04/30,"Gujarati",687710
2011/05/31,"Gujarati",840960
2011/06/30,"Gujarati",717554
2011/07/31,"Gujarati",891553
2011/08/31,"Gujarati",1023459
2011/09/30,"Gujarati",883623
2011/10/31,"Gujarati",1130133
2011/11/30,"Gujarati",815330
2011/12/31,"Gujarati",869915
2012/01/31,"Gujarati",1023531
2012/02/29,"Gujarati",938459
2012/03/31,"Gujarati",895331
2012/04/30,"Gujarati",671423
2012/05/31,"Gujarati",755959
2012/06/30,"Gujarati",838792
2012/07/31,"Gujarati",1167925
2012/08/31,"Gujarati",1164976
2012/09/30,"Gujarati",1087468
2012/10/31,"Gujarati",935012
2012/11/30,"Gujarati",909321
2012/12/13,"Gujarati",1090654
2013/01/31,"Gujarati",1061228
2013/02/12,"Gujarati",391782
2008/01/31,"Hindi",1757994
2008/02/29,"Hindi",1362171
2008/03/31,"Hindi",1820954
2008/04/30,"Hindi",2226164
2008/05/31,"Hindi",1992144
2008/06/30,"Hindi",1974777
2008/07/31,"Hindi",2122342
2008/08/31,"Hindi",2183872
2008/09/30,"Hindi",2212976
2008/10/31,"Hindi",2352205
2008/11/30,"Hindi",2120843
2008/12/31,"Hindi",2413777
2009/01/31,"Hindi",2519119
2009/02/28,"Hindi",2107890
2009/03/31,"Hindi",2326860
2009/04/30,"Hindi",2200941
2009/05/31,"Hindi",2404256
2009/06/30,"Hindi",2995149
2009/07/31,"Hindi",3296851
2009/08/31,"Hindi",4322851
2009/09/30,"Hindi",4648245
2009/10/31,"Hindi",4495096
2009/11/30,"Hindi",4177637
2009/12/31,"Hindi",4903604
2010/01/31,"Hindi",4376349
2010/02/28,"Hindi",4730294
2010/03/31,"Hindi",4128519
2010/04/30,"Hindi",4228993
2010/05/31,"Hindi",3953928
2010/06/30,"Hindi",4375919
2010/07/31,"Hindi",5133693
2010/08/31,"Hindi",5046081
2010/09/30,"Hindi",5329495
2010/10/31,"Hindi",5238710
2010/11/30,"Hindi",4930634
2010/12/31,"Hindi",7848740
2011/01/31,"Hindi",4880896
2011/02/28,"Hindi",4720001
2011/03/31,"Hindi",5293557
2011/04/30,"Hindi",5095131
2011/05/31,"Hindi",4948898
2011/06/30,"Hindi",6531680
2011/07/31,"Hindi",7312163
2011/08/31,"Hindi",9094417
2011/09/30,"Hindi",7730432
2011/10/31,"Hindi",9004187
2011/11/30,"Hindi",6548639
2011/12/31,"Hindi",5854485
2012/01/31,"Hindi",6215016
2012/02/29,"Hindi",5213561
2012/03/31,"Hindi",4847957
2012/04/30,"Hindi",4571137
2012/05/31,"Hindi",5561316
2012/06/30,"Hindi",6738121
2012/07/31,"Hindi",6795845
2012/08/31,"Hindi",6985729
2012/09/30,"Hindi",6901566
2012/10/31,"Hindi",7173579
2012/11/30,"Hindi",6537528
2012/12/13,"Hindi",6702547
2013/01/31,"Hindi",7558754
2013/02/12,"Hindi",2669209
2008/01/31,"Kannada",598078
2008/02/29,"Kannada",427755
2008/03/31,"Kannada",650647
2008/04/30,"Kannada",642831
2008/05/31,"Kannada",458810
2008/06/30,"Kannada",508090
2008/07/31,"Kannada",467849
2008/08/31,"Kannada",493240
2008/09/30,"Kannada",532268
2008/10/31,"Kannada",624660
2008/11/30,"Kannada",524268
2008/12/31,"Kannada",566095
2009/01/31,"Kannada",605222
2009/02/28,"Kannada",446789
2009/03/31,"Kannada",635946
2009/04/30,"Kannada",479224
2009/05/31,"Kannada",444042
2009/06/30,"Kannada",465153
2009/07/31,"Kannada",472943
2009/08/31,"Kannada",620332
2009/09/30,"Kannada",651773
2009/10/31,"Kannada",862857
2009/11/30,"Kannada",818105
2009/12/31,"Kannada",916470
2010/01/31,"Kannada",822956
2010/02/28,"Kannada",1044252
2010/03/31,"Kannada",992700
2010/04/30,"Kannada",1058778
2010/05/31,"Kannada",1362421
2010/06/30,"Kannada",854942
2010/07/31,"Kannada",976034
2010/08/31,"Kannada",1050517
2010/09/30,"Kannada",1032197
2010/10/31,"Kannada",1084605
2010/11/30,"Kannada",1014537
2010/12/31,"Kannada",1127597
2011/01/31,"Kannada",1130587
2011/02/28,"Kannada",1073387
2011/03/31,"Kannada",1313783
2011/04/30,"Kannada",1206679
2011/05/31,"Kannada",1723850
2011/06/30,"Kannada",1212490
2011/07/31,"Kannada",1335807
2011/08/31,"Kannada",1536835
2011/09/30,"Kannada",1333610
2011/10/31,"Kannada",1859668
2011/11/30,"Kannada",1397457
2011/12/31,"Kannada",1200877
2012/01/31,"Kannada",1374231
2012/02/29,"Kannada",1228050
2012/03/31,"Kannada",1167925
2012/04/30,"Kannada",983899
2012/05/31,"Kannada",1185792
2012/06/30,"Kannada",1207528
2012/07/31,"Kannada",1216723
2012/08/31,"Kannada",1217217
2012/09/30,"Kannada",1285355
2012/10/31,"Kannada",1379101
2012/11/30,"Kannada",1232106
2012/12/13,"Kannada",1165264
2013/01/31,"Kannada",1310965
2013/02/12,"Kannada",453628
2008/01/31,"Kashmiri",90912
2008/02/29,"Kashmiri",86421
2008/03/31,"Kashmiri",75016
2008/04/30,"Kashmiri",86629
2008/05/31,"Kashmiri",89036
2008/06/30,"Kashmiri",60200
2008/07/31,"Kashmiri",52892
2008/08/31,"Kashmiri",51268
2008/09/30,"Kashmiri",39218
2008/10/31,"Kashmiri",56154
2008/11/30,"Kashmiri",52747
2008/12/31,"Kashmiri",59137
2009/01/31,"Kashmiri",55553
2009/02/28,"Kashmiri",42035
2009/03/31,"Kashmiri",48971
2009/04/30,"Kashmiri",45848
2009/05/31,"Kashmiri",44431
2009/06/30,"Kashmiri",45233
2009/07/31,"Kashmiri",36260
2009/08/31,"Kashmiri",40093
2009/09/30,"Kashmiri",45659
2009/10/31,"Kashmiri",51757
2009/11/30,"Kashmiri",52167
2009/12/31,"Kashmiri",56527
2010/01/31,"Kashmiri",54172
2010/02/28,"Kashmiri",50893
2010/03/31,"Kashmiri",55798
2010/04/30,"Kashmiri",70608
2010/05/31,"Kashmiri",78524
2010/06/30,"Kashmiri",55477
2010/07/31,"Kashmiri",75310
2010/08/31,"Kashmiri",47355
2010/09/30,"Kashmiri",60042
2010/10/31,"Kashmiri",56557
2010/11/30,"Kashmiri",60967
2010/12/31,"Kashmiri",67143
2011/01/31,"Kashmiri",59277
2011/02/28,"Kashmiri",49586
2011/03/31,"Kashmiri",67105
2011/04/30,"Kashmiri",59113
2011/05/31,"Kashmiri",57443
2011/06/30,"Kashmiri",55038
2011/07/31,"Kashmiri",54782
2011/08/31,"Kashmiri",90362
2011/09/30,"Kashmiri",71859
2011/10/31,"Kashmiri",64845
2011/11/30,"Kashmiri",79065
2011/12/31,"Kashmiri",63550
2012/01/31,"Kashmiri",69966
2012/02/29,"Kashmiri",66471
2012/03/31,"Kashmiri",59716
2012/04/30,"Kashmiri",50298
2012/05/31,"Kashmiri",73516
2012/06/30,"Kashmiri",50426
2012/07/31,"Kashmiri",67335
2012/08/31,"Kashmiri",47530
2012/09/30,"Kashmiri",56488
2012/10/31,"Kashmiri",60663
2012/11/30,"Kashmiri",54556
2012/12/13,"Kashmiri",65210
2013/01/31,"Kashmiri",69328
2013/02/12,"Kashmiri",23322
2008/01/31,"Malayalam",904289
2008/02/29,"Malayalam",706008
2008/03/31,"Malayalam",894371
2008/04/30,"Malayalam",1134600
2008/05/31,"Malayalam",1370278
2008/06/30,"Malayalam",1199081
2008/07/31,"Malayalam",1087039
2008/08/31,"Malayalam",1155820
2008/09/30,"Malayalam",1379851
2008/10/31,"Malayalam",1268634
2008/11/30,"Malayalam",1108036
2008/12/31,"Malayalam",1243824
2009/01/31,"Malayalam",1143912
2009/02/28,"Malayalam",968911
2009/03/31,"Malayalam",1396649
2009/04/30,"Malayalam",1092423
2009/05/31,"Malayalam",1083584
2009/06/30,"Malayalam",1624755
2009/07/31,"Malayalam",1566902
2009/08/31,"Malayalam",1793994
2009/09/30,"Malayalam",2138697
2009/10/31,"Malayalam",2909319
2009/11/30,"Malayalam",2701698
2009/12/31,"Malayalam",2783226
2010/01/31,"Malayalam",2765431
2010/02/28,"Malayalam",2845219
2010/03/31,"Malayalam",2902965
2010/04/30,"Malayalam",3186281
2010/05/31,"Malayalam",2537643
2010/06/30,"Malayalam",1340893
2010/07/31,"Malayalam",1651028
2010/08/31,"Malayalam",1551437
2010/09/30,"Malayalam",1527100
2010/10/31,"Malayalam",1491325
2010/11/30,"Malayalam",1617107
2010/12/31,"Malayalam",1825301
2011/01/31,"Malayalam",1681364
2011/02/28,"Malayalam",1768080
2011/03/31,"Malayalam",2095761
2011/04/30,"Malayalam",1760832
2011/05/31,"Malayalam",2513454
2011/06/30,"Malayalam",2308587
2011/07/31,"Malayalam",2811107
2011/08/31,"Malayalam",3159346
2011/09/30,"Malayalam",2792725
2011/10/31,"Malayalam",5570501
2011/11/30,"Malayalam",5811737
2011/12/31,"Malayalam",2715708
2012/01/31,"Malayalam",2956862
2012/02/29,"Malayalam",2518167
2012/03/31,"Malayalam",2662726
2012/04/30,"Malayalam",2096078
2012/05/31,"Malayalam",2495557
2012/06/30,"Malayalam",2635802
2012/07/31,"Malayalam",2821358
2012/08/31,"Malayalam",2655090
2012/09/30,"Malayalam",2550015
2012/10/31,"Malayalam",2768743
2012/11/30,"Malayalam",2712845
2012/12/13,"Malayalam",2582977
2013/01/31,"Malayalam",3216755
2013/02/12,"Malayalam",1176868
2008/01/31,"Marathi",1349153
2008/02/29,"Marathi",1333035
2008/03/31,"Marathi",1552256
2008/04/30,"Marathi",1649732
2008/05/31,"Marathi",1797412
2008/06/30,"Marathi",1625324
2008/07/31,"Marathi",1415983
2008/08/31,"Marathi",1351310
2008/09/30,"Marathi",1276381
2008/10/31,"Marathi",1406073
2008/11/30,"Marathi",1337007
2008/12/31,"Marathi",1402856
2009/01/31,"Marathi",1474468
2009/02/28,"Marathi",1313209
2009/03/31,"Marathi",1808491
2009/04/30,"Marathi",1354905
2009/05/31,"Marathi",1325443
2009/06/30,"Marathi",1397988
2009/07/31,"Marathi",1926909
2009/08/31,"Marathi",2046485
2009/09/30,"Marathi",2025983
2009/10/31,"Marathi",2678311
2009/11/30,"Marathi",2317020
2009/12/31,"Marathi",2798541
2010/01/31,"Marathi",2535091
2010/02/28,"Marathi",2839333
2010/03/31,"Marathi",2745967
2010/04/30,"Marathi",2791343
2010/05/31,"Marathi",2470336
2010/06/30,"Marathi",2111540
2010/07/31,"Marathi",2605807
2010/08/31,"Marathi",2491100
2010/09/30,"Marathi",2589715
2010/10/31,"Marathi",2634405
2010/11/30,"Marathi",2503724
2010/12/31,"Marathi",2888354
2011/01/31,"Marathi",2738452
2011/02/28,"Marathi",2869351
2011/03/31,"Marathi",3115053
2011/04/30,"Marathi",2459340
2011/05/31,"Marathi",2742442
2011/06/30,"Marathi",3144489
2011/07/31,"Marathi",3819845
2011/08/31,"Marathi",4401155
2011/09/30,"Marathi",4588807
2011/10/31,"Marathi",6086932
2011/11/30,"Marathi",7566350
2011/12/31,"Marathi",3887211
2012/01/31,"Marathi",4325466
2012/02/29,"Marathi",3645486
2012/03/31,"Marathi",3576156
2012/04/30,"Marathi",2447892
2012/05/31,"Marathi",2819209
2012/06/30,"Marathi",2778964
2012/07/31,"Marathi",3026367
2012/08/31,"Marathi",2912041
2012/09/30,"Marathi",2867804
2012/10/31,"Marathi",3015982
2012/11/30,"Marathi",2733385
2012/12/13,"Marathi",3210894
2013/01/31,"Marathi",3671281
2013/02/12,"Marathi",1392731
2008/01/31,"Nepali",139310
2008/02/29,"Nepali",120090
2008/03/31,"Nepali",183883
2008/04/30,"Nepali",140999
2008/05/31,"Nepali",127739
2008/06/30,"Nepali",114474
2008/07/31,"Nepali",108495
2008/08/31,"Nepali",137511
2008/09/30,"Nepali",88666
2008/10/31,"Nepali",102013
2008/11/30,"Nepali",102050
2008/12/31,"Nepali",134288
2009/01/31,"Nepali",108025
2009/02/28,"Nepali",100393
2009/03/31,"Nepali",115190
2009/04/30,"Nepali",119520
2009/05/31,"Nepali",120145
2009/06/30,"Nepali",123406
2009/07/31,"Nepali",108272
2009/08/31,"Nepali",128143
2009/09/30,"Nepali",122260
2009/10/31,"Nepali",150145
2009/11/30,"Nepali",145665
2009/12/31,"Nepali",147244
2010/01/31,"Nepali",165734
2010/02/28,"Nepali",180133
2010/03/31,"Nepali",188001
2010/04/30,"Nepali",230799
2010/05/31,"Nepali",217569
2010/06/30,"Nepali",195341
2010/07/31,"Nepali",248274
2010/08/31,"Nepali",244099
2010/09/30,"Nepali",242635
2010/10/31,"Nepali",260941
2010/11/30,"Nepali",293721
2010/12/31,"Nepali",365477
2011/01/31,"Nepali",359873
2011/02/28,"Nepali",447874
2011/03/31,"Nepali",556288
2011/04/30,"Nepali",465415
2011/05/31,"Nepali",515424
2011/06/30,"Nepali",621982
2011/07/31,"Nepali",684712
2011/08/31,"Nepali",844582
2011/09/30,"Nepali",694126
2011/10/31,"Nepali",1338339
2011/11/30,"Nepali",1249960
2011/12/31,"Nepali",873115
2012/01/31,"Nepali",828952
2012/02/29,"Nepali",831049
2012/03/31,"Nepali",852941
2012/04/30,"Nepali",661378
2012/05/31,"Nepali",796760
2012/06/30,"Nepali",764984
2012/07/31,"Nepali",756820
2012/08/31,"Nepali",809575
2012/09/30,"Nepali",786936
2012/10/31,"Nepali",768744
2012/11/30,"Nepali",747388
2012/12/13,"Nepali",810240
2013/01/31,"Nepali",959619
2013/02/12,"Nepali",354269
2008/01/31,"Newari",996498
2008/02/29,"Newari",792345
2008/03/31,"Newari",1101383
2008/04/30,"Newari",1481030
2008/05/31,"Newari",1686856
2008/06/30,"Newari",1575792
2008/07/31,"Newari",1322946
2008/08/31,"Newari",1289067
2008/09/30,"Newari",1124033
2008/10/31,"Newari",1255474
2008/11/30,"Newari",1111524
2008/12/31,"Newari",1361189
2009/01/31,"Newari",1340490
2009/02/28,"Newari",1088865
2009/03/31,"Newari",1482067
2009/04/30,"Newari",898445
2009/05/31,"Newari",930394
2009/06/30,"Newari",1022357
2009/07/31,"Newari",1015894
2009/08/31,"Newari",1312880
2009/09/30,"Newari",1344657
2009/10/31,"Newari",1526841
2009/11/30,"Newari",1266288
2009/12/31,"Newari",1414490
2010/01/31,"Newari",1588302
2010/02/28,"Newari",1354335
2010/03/31,"Newari",1192329
2010/04/30,"Newari",1324221
2010/05/31,"Newari",1505271
2010/06/30,"Newari",534330
2010/07/31,"Newari",577959
2010/08/31,"Newari",553964
2010/09/30,"Newari",548605
2010/10/31,"Newari",498523
2010/11/30,"Newari",614887
2010/12/31,"Newari",929074
2011/01/31,"Newari",798218
2011/02/28,"Newari",804140
2011/03/31,"Newari",1028072
2011/04/30,"Newari",701044
2011/05/31,"Newari",638247
2011/06/30,"Newari",794662
2011/07/31,"Newari",983936
2011/08/31,"Newari",1064163
2011/09/30,"Newari",1296200
2011/10/31,"Newari",1395192
2011/11/30,"Newari",908057
2011/12/31,"Newari",987396
2012/01/31,"Newari",840122
2012/02/29,"Newari",852102
2012/03/31,"Newari",854775
2012/04/30,"Newari",740295
2012/05/31,"Newari",848682
2012/06/30,"Newari",656071
2012/07/31,"Newari",684336
2012/08/31,"Newari",741259
2012/09/30,"Newari",825532
2012/10/31,"Newari",734167
2012/11/30,"Newari",770914
2012/12/13,"Newari",807466
2013/01/31,"Newari",884731
2013/02/12,"Newari",335266
2008/01/31,"Oriya",50461
2008/02/29,"Oriya",50767
2008/03/31,"Oriya",43331
2008/04/30,"Oriya",45142
2008/05/31,"Oriya",38100
2008/06/30,"Oriya",43477
2008/07/31,"Oriya",31564
2008/08/31,"Oriya",33858
2008/09/30,"Oriya",24410
2008/10/31,"Oriya",29089
2008/11/30,"Oriya",32189
2008/12/31,"Oriya",31579
2009/01/31,"Oriya",31484
2009/02/28,"Oriya",25684
2009/03/31,"Oriya",34160
2009/04/30,"Oriya",31907
2009/05/31,"Oriya",31529
2009/06/30,"Oriya",40973
2009/07/31,"Oriya",36184
2009/08/31,"Oriya",37767
2009/09/30,"Oriya",30083
2009/10/31,"Oriya",35297
2009/11/30,"Oriya",41025
2009/12/31,"Oriya",42143
2010/01/31,"Oriya",42374
2010/02/28,"Oriya",44102
2010/03/31,"Oriya",42600
2010/04/30,"Oriya",51767
2010/05/31,"Oriya",60718
2010/06/30,"Oriya",46263
2010/07/31,"Oriya",56892
2010/08/31,"Oriya",37465
2010/09/30,"Oriya",44248
2010/10/31,"Oriya",50375
2010/11/30,"Oriya",47923
2010/12/31,"Oriya",60725
2011/01/31,"Oriya",54617
2011/02/28,"Oriya",51448
2011/03/31,"Oriya",111095
2011/04/30,"Oriya",137267
2011/05/31,"Oriya",115554
2011/06/30,"Oriya",134145
2011/07/31,"Oriya",176347
2011/08/31,"Oriya",224588
2011/09/30,"Oriya",206623
2011/10/31,"Oriya",489014
2011/11/30,"Oriya",257704
2011/12/31,"Oriya",284887
2012/01/31,"Oriya",282293
2012/02/29,"Oriya",394155
2012/03/31,"Oriya",319887
2012/04/30,"Oriya",311703
2012/05/31,"Oriya",449558
2012/06/30,"Oriya",407538
