date,language,views
2008/11/30,hi,2120843
2008/11/30,kn,524268
2008/11/30,ks,52747
2008/11/30,ml,1108036
2008/11/30,mr,1337007
2008/11/30,ne,102050
2008/11/30,new,1111524
2008/11/30,or,32189
2008/11/30,pi,122886
2008/11/30,pa,73521
2008/11/30,sa,149321
2008/11/30,sd,40344
2008/11/30,ta,1627622
2008/11/30,te,1458182
2008/11/30,ur,549666
2008/11/30,Total,13871060
2008/12/31,as,75297
2008/12/31,bh,94951
2008/12/31,bn,1938081
2008/12/31,bpy,1404392
2008/12/31,gu,258223
2008/12/31,hi,2413777
2008/12/31,kn,566095
2008/12/31,ks,59137
2008/12/31,ml,1243824
2008/12/31,mr,1402856
2008/12/31,ne,134288
2008/12/31,new,1361189
2008/12/31,or,31579
2008/12/31,pi,115725
2008/12/31,pa,79962
2008/12/31,sa,163997
2008/12/31,sd,58748
2008/12/31,ta,1846129
2008/12/31,te,1957949
2008/12/31,ur,576588
2008/12/31,Total,15782787
2009/01/31,as,75359
2009/01/31,bh,111401
2009/01/31,bn,2269294
2009/01/31,bpy,1744794
2009/01/31,gu,239194
2009/01/31,hi,2519119
2009/01/31,kn,605222
2009/01/31,ks,55553
2009/01/31,ml,1143912
2009/01/31,mr,1474468
2009/01/31,ne,108025
2009/01/31,new,1340490
2009/01/31,or,31484
2009/01/31,pi,89147
2009/01/31,pa,74347
2009/01/31,sa,142192
2009/01/31,sd,53952
2009/01/31,ta,1748939
2009/01/31,te,1683231
2009/01/31,ur,581786
2009/01/31,Total,16091909
2009/02/28,as,59818
2009/02/28,bh,77773
2009/02/28,bn,1875228
2009/02/28,bpy,1404835
2009/02/28,gu,176878
2009/02/28,hi,2107890
2009/02/28,kn,446789
2009/02/28,ks,42035
2009/02/28,ml,968911
2009/02/28,mr,1313209
2009/02/28,ne,100393
2009/02/28,new,1088865
2009/02/28,or,25684
2009/02/28,pi,71171
2009/02/28,pa,58599
2009/02/28,sa,158852
2009/02/28,sd,44491
2009/02/28,ta,1363677
2009/02/28,te,1881129
2009/02/28,ur,534859
2009/02/28,Total,13801086
2009/03/31,as,83473
2009/03/31,bh,99054
2009/03/31,bn,2571912
2009/03/31,bpy,1841739
2009/03/31,gu,261766
2009/03/31,hi,2326860
2009/03/31,kn,635946
2009/03/31,ks,48971
2009/03/31,ml,1396649
2009/03/31,mr,1808491
2009/03/31,ne,115190
2009/03/31,new,1482067
2009/03/31,or,34160
2009/03/31,pi,96844
2009/03/31,pa,74521
2009/03/31,sa,230593
2009/03/31,sd,56297
2009/03/31,ta,1875408
2009/03/31,te,2146811
2009/03/31,ur,720945
2009/03/31,Total,17907697
2009/04/30,as,64088
2009/04/30,bh,97059
2009/04/30,bn,1521019
2009/04/30,bpy,1029813
2009/04/30,gu,231602
2009/04/30,hi,2200941
2009/04/30,kn,479224
2009/04/30,ks,45848
2009/04/30,ml,1092423
2009/04/30,mr,1354905
2009/04/30,ne,119520
2009/04/30,new,898445
2009/04/30,or,31907
2009/04/30,pi,111164
2009/04/30,pa,73111
2009/04/30,sa,215252
2009/04/30,sd,40973
2009/04/30,ta,1514584
2009/04/30,te,1442099
2009/04/30,ur,603393
2009/04/30,Total,13167370
2009/05/31,as,59039
2009/05/31,bh,86637
2009/05/31,bn,1466029
2009/05/31,bpy,981733
2009/05/31,gu,229719
2009/05/31,hi,2404256
2009/05/31,kn,444042
2009/05/31,ks,44431
2009/05/31,ml,1083584
2009/05/31,mr,1325443
2009/05/31,ne,120145
2009/05/31,new,930394
2009/05/31,or,31529
2009/05/31,pi,105883
2009/05/31,pa,61434
2009/05/31,sa,210884
2009/05/31,sd,49905
2009/05/31,ta,1371216
2009/05/31,te,1410038
2009/05/31,ur,597365
2009/05/31,Total,13013706
2009/06/30,as,84186
2009/06/30,bh,98418
2009/06/30,bn,1734206
2009/06/30,bpy,1132420
2009/06/30,gu,305216
2009/06/30,hi,2995149
2009/06/30,kn,465153
2009/06/30,ks,45233
2009/06/30,ml,1624755
2009/06/30,mr,1397988
2009/06/30,ne,123406
2009/06/30,new,1022357
2009/06/30,or,40973
2009/06/30,pi,118858
2009/06/30,pa,74259
2009/06/30,sa,220924
2009/06/30,sd,55555
2009/06/30,ta,1625082
2009/06/30,te,1435928
2009/06/30,ur,735878
2009/06/30,Total,15335944
2009/07/31,as,61769
2009/07/31,bh,89518
2009/07/31,bn,1804817
2009/07/31,bpy,1073661
2009/07/31,gu,321863
2009/07/31,hi,3296851
2009/07/31,kn,472943
2009/07/31,ks,36260
2009/07/31,ml,1566902
2009/07/31,mr,1926909
2009/07/31,ne,108272
2009/07/31,new,1015894
2009/07/31,or,36184
2009/07/31,pi,98388
2009/07/31,pa,74698
2009/07/31,sa,232190
2009/07/31,sd,54797
2009/07/31,ta,1758200
2009/07/31,te,1566376
2009/07/31,ur,720662
2009/07/31,Total,16317154
2009/08/31,as,66080
2009/08/31,bh,104800
2009/08/31,bn,2070579
2009/08/31,bpy,1315673
2009/08/31,gu,387866
2009/08/31,hi,4322851
2009/08/31,kn,620332
2009/08/31,ks,40093
2009/08/31,ml,1793994
2009/08/31,mr,2046485
2009/08/31,ne,128143
2009/08/31,new,1312880
2009/08/31,or,37767
2009/08/31,pi,110997
2009/08/31,pa,81409
2009/08/31,sa,231425
2009/08/31,sd,58106
2009/08/31,ta,1952741
2009/08/31,te,1854477
2009/08/31,ur,814443
2009/08/31,Total,19351141
2009/09/30,as,61554
2009/09/30,bh,81582
2009/09/30,bn,2080503
2009/09/30,bpy,1271392
2009/09/30,gu,354080
2009/09/30,hi,4648245
2009/09/30,kn,651773
2009/09/30,ks,45659
2009/09/30,ml,2138697
2009/09/30,mr,2025983
2009/09/30,ne,122260
2009/09/30,new,1344657
2009/09/30,or,30083
2009/09/30,pi,99907
2009/09/30,pa,130555
2009/09/30,sa,193513
2009/09/30,sd,47522
2009/09/30,ta,1863130
2009/09/30,te,2379958
2009/09/30,ur,800454
2009/09/30,Total,20371507
2009/10/31,as,75216
2009/10/31,bh,105763
2009/10/31,bn,2585947
2009/10/31,bpy,1593952
2009/10/31,gu,525767
2009/10/31,hi,4495096
2009/10/31,kn,862857
2009/10/31,ks,51757
2009/10/31,ml,2909319
2009/10/31,mr,2678311
2009/10/31,ne,150145
2009/10/31,new,1526841
2009/10/31,or,35297
2009/10/31,pi,119104
2009/10/31,pa,87940
2009/10/31,sa,231021
2009/10/31,sd,56483
2009/10/31,ta,2406075
2009/10/31,te,3736608
2009/10/31,ur,958408
2009/10/31,Total,25191907
2009/11/30,as,88300
2009/11/30,bh,91524
2009/11/30,bn,2245699
2009/11/30,bpy,1342916
2009/11/30,gu,467127
2009/11/30,hi,4177637
2009/11/30,kn,818105
2009/11/30,ks,52167
2009/11/30,ml,2701698
2009/11/30,mr,2317020
2009/11/30,ne,145665
2009/11/30,new,1266288
2009/11/30,or,41025
2009/11/30,pi,125861
2009/11/30,pa,86018
2009/11/30,sa,202655
2009/11/30,sd,57608
2009/11/30,ta,2398644
2009/11/30,te,3717771
2009/11/30,ur,1146679
2009/11/30,Total,23490407
2009/12/31,as,93305
2009/12/31,bh,96117
2009/12/31,bn,2782785
2009/12/31,bpy,1510928
2009/12/31,gu,537128
2009/12/31,hi,4903604
2009/12/31,kn,916470
2009/12/31,ks,56527
2009/12/31,ml,2783226
2009/12/31,mr,2798541
2009/12/31,ne,147244
2009/12/31,new,1414490
2009/12/31,or,42143
2009/12/31,pi,128433
2009/12/31,pa,82631
2009/12/31,sa,211152
2009/12/31,sd,60744
2009/12/31,ta,2623173
2009/12/31,te,4134881
2009/12/31,ur,1039487
2009/12/31,Total,26363009
2010/01/31,as,91161
2010/01/31,bh,115518
2010/01/31,bn,2574848
2010/01/31,bpy,1466489
2010/01/31,gu,524032
2010/01/31,hi,4376349
2010/01/31,kn,822956
2010/01/31,ks,54172
2010/01/31,ml,2765431
2010/01/31,mr,2535091
2010/01/31,ne,165734
2010/01/31,new,1588302
2010/01/31,or,42374
2010/01/31,pi,142198
2010/01/31,pa,87702
2010/01/31,sa,231154
2010/01/31,sd,57358
2010/01/31,ta,2605004
2010/01/31,te,3540826
2010/01/31,ur,1021865
2010/01/31,Total,24808564
2010/02/28,as,98933
2010/02/28,bh,126984
2010/02/28,bn,2747949
2010/02/28,bpy,1161400
2010/02/28,gu,641361
2010/02/28,hi,4730294
2010/02/28,kn,1044252
2010/02/28,ks,50893
2010/02/28,ml,2845219
2010/02/28,mr,2839333
2010/02/28,ne,180133
2010/02/28,new,1354335
2010/02/28,or,44102
2010/02/28,pi,165494
2010/02/28,pa,89950
2010/02/28,sa,239689
2010/02/28,sd,56360
2010/02/28,ta,2668564
2010/02/28,te,4180496
2010/02/28,ur,1143967
2010/02/28,Total,26409708
2010/03/31,as,98900
